url,content,tables,code_snippets,domain
https://openai.com,work create safe beneficial ai requires deep understanding potential risk benefit well careful consideration impact research generative model align human value api platform offer latest model guide safety best practice developing safe beneficial ai requires people wide range discipline background encourage team keep learning idea different topic field often inspire new idea broaden potential solution space,[],[],openai.com
https://openai.com/customer-stories,explore diverse network customer using technology advance goal,[],[],openai.com
https://platform.openai.com/docs/introduction,,[],[],platform.openai.com
https://openai.com/blog/new-and-improved-content-moderation-tooling,introducing new improved content moderation tool moderation endpoint improves upon previous content filter available free today openai api developer illustration ruby chen help developer protect application possible misuse introducing faster accurate moderation endpoint endpoint provides openai api developer free access gpt based classifier detect undesired content instance using ai system assist human supervision system also released technical paper describing methodology dataset used evaluation given text input moderation endpoint ass whether content sexual hateful violent promotes self harm content prohibited content policy endpoint trained quick accurate perform robustly across range application importantly reduces chance product saying wrong thing even deployed user scale consequence ai unlock benefit sensitive setting like education could otherwise used confidence moderation endpoint help developer benefit infrastructure investment rather build maintain classifier extensive process document paper instead access accurate classifier single api call part openai commitment making ai ecosystem safer providing endpoint allow free moderation openai api generated content instance inworld openai api customer us moderation endpoint help ai based virtual character remain appropriate audience leveraging openai technology inworld focus core product creating memorable character currently support monitoring third party traffic get started moderation endpoint checking documentation detail training process model performance available paper also released evaluation dataset featuring common crawl data labeled within category hope spur research area,[],[],openai.com
https://platform.openai.com/examples,,[],[],platform.openai.com
https://openai.com/about,building safe beneficial agi also consider mission fulfilled work aid others achieve outcome developing safe beneficial ai requires people wide range discipline background,[],[],openai.com
https://openai.com/safety-standards,society access generative ai tool become essential access internet must balance obligation mitigate serious risk allowing diverse value flourish monitor use tool update safety mitigation based learn model risk capability reflecting leadership commercial ai deployment minimize harmwe build safety ai tool possible work hard aggressively reduce harm posed misuse abuse ai tool build trustalongside user developer community share responsibility supporting safe beneficial application technology learn iteratewe observe analyze model behave used seek input approach safety order improve system time pioneer trust safetywe support research unique trust safety challenge posed generative ai help improve safety beyond ecosystem created compiled resource safety practice uphold trust safety engage product,[],[],openai.com
https://openai.com/product/gpt-4,gpt 4 solve difficult problem greater accuracy thanks broader general knowledge problem solving ability gpt 4 creative collaborative ever generate edit iterate user creative technical writing task composing song writing screenplay learning user writing style gpt 4 accept image input generate caption classification analysis gpt 4 capable handling 25 000 word text allowing use case like long form content creation extended conversation document search analysis chatgpt gpt 4 chatgpt gpt 4 vision following research path gpt gpt 2 gpt 3 deep learning approach leverage data computation create increasingly sophisticated capable language model spent 6 month making gpt 4 safer aligned gpt 4 82 le likely respond request disallowed content 40 likely produce factual response gpt 3 5 internal evaluation training human feedbackwe incorporated human feedback including feedback submitted chatgpt user improve gpt 4 behavior also worked 50 expert early feedback domain including ai safety security continuous improvement real world usewe applied lesson real world use previous model gpt 4 safety research monitoring system like chatgpt updating improving gpt 4 regular cadence people use gpt 4 assisted safety researchgpt 4 advanced reasoning instruction following capability expedited safety work used gpt 4 help create training data model fine tuning iterate classifier across training evaluation monitoring collaborated organization building innovative product gpt 4 excited see people use gpt 4 work towards developing technology empower everyone,[],[],openai.com
https://openai.com/blog/new-and-improved-embedding-model,excited announce new embedding model significantly capable cost effective simpler use illustration ruby chen new model text embedding ada 002 replaces five separate model text search text similarity code search outperforms previous capable model davinci task priced 99 8 lower embeddings numerical representation concept converted number sequence make easy computer understand relationship concept since initial launch openai embeddings endpoint many application incorporated embeddings personalize recommend search content query embeddings endpoint new model two line code using openai python library like could previous model stronger performance text embedding ada 002 outperforms old embedding model text search code search sentence similarity task get comparable performance text classification task category evaluate model datasets used old embeddings unification capability significantly simplified interface embeddings endpoint merging five separate model shown text similarity text search query text search doc code search text code search code single new model single representation performs better previous embedding model across diverse set text search sentence similarity code search benchmark longer context context length new model increased factor four 2048 8192 making convenient work long document smaller embedding size new embeddings 1536 dimension one eighth size davinci 001 embeddings making new embeddings cost effective working vector database reduced price reduced price new embedding model 90 compared old model size new model achieves better similar performance old davinci model 99 8 lower price overall new embedding model much powerful tool natural language processing code task excited see customer use create even capable application respective field new text embedding ada 002 model outperforming text similarity davinci 001 senteval linear probing classification benchmark task require training light weighted linear layer top embedding vector classification prediction suggest comparing new model text similarity davinci 001 choosing whichever model give optimal performance check limitation risk section embeddings documentation general limitation embedding model kalendar ai sale outreach product us embeddings match right sale pitch right customer dataset containing 340m profile automation relies similarity embeddings customer profile sale pitch rank suitable match eliminating 40 56 unwanted targeting compared old approach notion online workspace company use openai new embeddings improve notion search beyond today keyword matching system,[],"[""text-embedding-ada-002"", ""import openai\nresponse = openai.Embedding.create(\n  input=\""porcine pals say\"",\n  model=\""text-embedding-ada-002\""\n)"", ""import openai\nresponse = openai.Embedding.create(\n  input=\""porcine pals say\"",\n  model=\""text-embedding-ada-002\""\n)\n\nprint(response)\n{\n  \""data\"": [\n    {\n      \""embedding\"": [\n        -0.0108,\n        -0.0107,\n        0.0323,\n        ...\n        -0.0114\n      ],\n      \""index\"": 0,\n      \""object\"": \""embedding\""\n    }\n  ],\n  \""model\"": \""text-embedding-ada-002\"",\n  \""object\"": \""list\""\n}"", ""text-embedding-ada-002"", ""text-similarity"", ""text-search-query"", ""text-search-doc"", ""code-search-text"", ""code-search-code"", ""davinci-001"", ""text-embedding-ada-002"", ""text-similarity-davinci-001"", ""text-similarity-davinci-001""]",openai.com
https://openai.com/blog,,[],[],openai.com
